surah_id,Name_en,MAIN KEYWORDS,Volume,RELEVANT KEYWORDS,volume
,,,,surah ar room,10K – 100K
,,,,surah ruum,10K – 100K
,,,,surah ar rum,10K – 100K
,,,,surat ar rum,1K – 10K
,,,,surat ar rum 21,1K – 10K
31,Luqman,surah luqman,100K – 1M,luqman surah,100K – 1M
,,,,luqman surat,100K – 1M
,,,,quran luqman,100K – 1M
,,,,sura luqman,100K – 1M
,,,,surah al luqman,100K – 1M
,,,,surah e luqman,100K – 1M
,,,,surat luqman,100K – 1M
,,,,surate luqman,100K – 1M
,,,,suratul luqman,100K – 1M
,,,,sure luqman,100K – 1M
,,,,suratul lukman,100K – 1M
,,,,surah luqman urdu translation,1K – 10K
,,,,surat luqman,100K – 1M
,,,,quran luqman,100K – 1M
,,,,surah lokman,100K – 1M
,,,,surah luqman translation in urdu,1K – 10K
32,As Sajda,Surah As-Sajdah,100K – 1M,al sajda,100K – 1M
,,,,al sajdah,100K – 1M
,,,,as sajda,100K – 1M
,,,,sajada surah,100K – 1M
,,,,sajada surath,100K – 1M
,,,,sura al sajda,100K – 1M
,,,,sura as sajda,100K – 1M
,,,,sura as sajdah,100K – 1M
,,,,sura sajada,100K – 1M
,,,,sura sajadah,100K – 1M
,,,,sura sajda,100K – 1M
,,,,sura sajdah,100K – 1M
,,,,surah al sajadah,100K – 1M
,,,,surah as sajada,100K – 1M
,,,,surah as sajadah,100K – 1M
,,,,surah as sajda,100K – 1M
,,,,surah al sajdah with urdu translation,1K – 10K
,,,,surah sajdah transliteration,1K – 10K
,,,,surah sajdah urdu translation,1K – 10K
,,,,surah sajdah with urdu translation,1K – 10K
,,,,surah sajdah,100K – 1M
,,,,as sajdah,100K – 1M
,,,,surah hamim sajdah,1K – 10K
33,Al Ahzab,surah al ahzab,10K – 100K,sorah ahzab,10K – 100K
,,,,sura ahzaab,10K – 100K
,,,,sura al ahzab,10K – 100K
,,,,sura e ahzab,10K – 100K
,,,,surah ahzab,10K – 100K
,,,,surah al ahzaab,10K – 100K
,,,,surat ahzab,10K – 100K
,,,,surat al ahzab,10K – 100K
,,,,surat ul ahzab,10K – 100K
,,,,suratul ahzab,10K – 100K
,,,,surah alahzab,10K – 100K
,,,,sureh ahzab,10K – 100K
,,,,surat alahzab,10K – 100K
,,,,surah ahzab with urdu translation,1K – 10K
,,,,surah ahzab in english,1K – 10K
,,,,surah ahzab translation,1K – 10K
,,,,surah al ahzab urdu translation,1K – 10K
,,,,surah ahzab,10K – 100K
,,,,surah alahzab,10K – 100K
,,,,ahzab surah,1K – 10K
,,,,surah ahzab 35,1K – 10K
34,Saba,surah saba,10K – 100K,sura saba,10K – 100K
,,,,suratul saba,10K – 100K
,,,,sureh saba,10K – 100K
,,,,Saba,100K – 1M
,,,,praise be to allah,1K – 10K
,,,,surah 34,1K – 10K
,,,,all praise is due to allah,1K – 10K
,,,,surah saba urdu translation,1K – 10K
,,,,surah saba with urdu translation,1K – 10K
35,Fatir,Surah Fatir,10K – 100K,fatir surah,10K – 100K
,,,,sorat fatir,10K – 100K
,,,,surah al fatir,10K – 100K
,,,,surat fatir,10K – 100K
,,,,surah faatir,10K – 100K
,,,,surah fatir with urdu translation,1K – 10K
,,,,surah fatir ayat 22,1K – 10K
,,,,surat al fatir,1K – 10K
36,Yasin,surah yaseen,1M – 10M,soora yaseen,1M – 10M
,,,,soora yasin,1M – 10M
,,,,soorah yaseen,1M – 10M
,,,,soorah yasin,1M – 10M
,,,,soorat yaseen,1M – 10M
,,,,soorathu yaseen,1M – 10M
,,,,soorathul yaseen,1M – 10M
,,,,soorayaseen,1M – 10M
,,,,soore yaseen,1M – 10M
,,,,soore yasin,1M – 10M
,,,,sora e yaseen,1M – 10M
,,,,sora e yasin,1M – 10M
,,,,sora yasee,1M – 10M
,,,,sora yaseen,1M – 10M
,,,,sora yasin,1M – 10M
,,,,sora yassin,1M – 10M
,,,,sorah yasee,1M – 10M
,,,,sorah yaseen,1M – 10M
,,,,yaseen pdf,100K – 1M
,,,,yasin arbi,100K – 1M
,,,,surah yaseen with urdu translation,10K – 100K
,,,,surah yaseen english translation,10K – 100K
,,,,surah yaseen transliteration,10K – 100K
,,,,yaseen shareef pdf,10K – 100K
,,,,surah yaseen english,10K – 100K
,,,,yaseen in english,10K – 100K
,,,,english translation of surah yasin,10K – 100K
,,,,full surah yaseen with urdu translation,10K – 100K
,,,,hindi yasin sharif,10K – 100K
,,,,surah al yaseen translation,10K – 100K
,,,,surah ya sin english,10K – 100K
,,,,surah yaseen for read,10K – 100K
,,,,surah yaseen full urdu translation,10K – 100K
37,As Saffat,surah as saffat,10K – 100K,al saffat,10K – 100K
,,,,as saffat,10K – 100K
,,,,saffat surah,10K – 100K
,,,,sura safat,10K – 100K
,,,,sura saffat,10K – 100K
,,,,surah al safat,10K – 100K
,,,,surah al saffat,10K – 100K
,,,,surah as safat,10K – 100K
,,,,surah safat,10K – 100K
,,,,surah saffat,10K – 100K
,,,,surat as saffat,10K – 100K
,,,,surat saffat,10K – 100K
,,,,surah al saffat with urdu translation,1K – 10K
,,,,surah saffat urdu translation,1K – 10K
38,Sad,Surah Sad,10K – 100K,sad surah,10K – 100K
,,,,surah al sad,10K – 100K
,,,,surah sad,10K – 100K
,,,,sura saad,10K – 100K
,,,,surah saad,10K – 100K
,,,,surah al sad,10K – 100K
,,,,qs shad 54,1K – 10K
,,,,surah sad ayat 35,1K – 10K
39,Az Zumar,surah az zumar,10K – 100K,sura zumar,10K – 100K
,,,,surah al zumar,10K – 100K
,,,,surah alzumar,10K – 100K
,,,,surah zumar,10K – 100K
,,,,surat azzumar,10K – 100K
,,,,surat zumar,10K – 100K
,,,,zumar surah,10K – 100K
,,,,surah az zumar with urdu translation,1K – 10K
,,,,surah zumar urdu translation,1K – 10K
,,,,surah alzumar,10K – 100K
,,,,surah zumar,10K – 100K
,,,,zumar surah,10K – 100K
,,,,surah zumar ayat 53,1K – 10K
40,Ghafir,Surah Ghafir,10K – 100K,sura ghafir,10K – 100K
,,,,sure ghafir,10K – 100K
,,,,al ghafir,1K – 10K
,,,,ghafir 44,1K – 10K
,,,,surah al ghafir,1K – 10K
,,,,surat al ghafir,1K – 10K
41,Fussilat,Surah Fussilat,10K – 100K,sura fusilat,10K – 100K
,,,,sura fussilat,10K – 100K
,,,,surat fussilat,10K – 100K
,,,,surat fussilat,10K – 100K
42,Ash Shura,Surah Ash Shura,10K – 100K,surah al shura,10K – 100K
,,,,surah ash shura,10K – 100K
,,,,surah ashura,10K – 100K
,,,,surah shura,10K – 100K
,,,,surah shura urdu translation,1K – 10K
,,,,surah shura with urdu translation,1K – 10K
,,,,surah shura ayat 19,1K – 10K
43,Az Zukhruf,surah zukhruf,10K – 100K,sura zukhruf,10K – 100K
,,,,Surah Az Zukhruf,1K – 10K
,,,,al zukhruf,1K – 10K
,,,,surah 43,1K – 10K
,,,,surah al zukhruf,1K – 10K
,,,,surah al zukhruf with urdu translation,1K – 10K
,,,,surah az zukhruf,1K – 10K
,,,,zukhruf,1K – 10K
,,,,surah zukhruf with urdu translation,1K – 10K
44,Ad Dukhan,surah ad dukhan,100K – 1M,ad dukhan surah,100K – 1M
,,,,dukhan surah,100K – 1M
,,,,sura dukhan,100K – 1M
,,,,sura e dukhan,100K – 1M
,,,,suradukhan,100K – 1M
,,,,surah al dukhan,100K – 1M
,,,,surah aldukhan,100K – 1M
,,,,surah dukhaan,100K – 1M
,,,,surah dukhan,100K – 1M
,,,,surat dukhaan,100K – 1M
,,,,surathul dukhan,100K – 1M
,,,,sureh dukhan,100K – 1M
,,,,surhe dukhan,100K – 1M
,,,,surat ad dukhan,10K – 100K
,,,,surat addukhan,10K – 100K
,,,,surah al dukhan with urdu translation,1K – 10K
,,,,surah dukhan in english,1K – 10K
,,,,surah dukhan transliteration,1K – 10K
,,,,surah dukhan with urdu translation,1K – 10K
,,,,surah dukhan translation,1K – 10K
45,Al Jathiyah,surah al jathiyah,1K – 10K,surah al jathiyah,1K – 10K
,,,,surah jathiyah,1K – 10K
46,Al Ahqaf,surah ahqaf,10K – 100K,surat ahqaf,10K – 100K
,,,,surah al ahqaf,1K – 10K
,,,,ahqaf,1K – 10K
,,,,al aḥqāf,1K – 10K
,,,,surah 46,1K – 10K
,,,,surah ahqaf ayat 15,1K – 10K
,,,,surat al ahqaf,1K – 10K
,,,,sura ahkaf,1M – 10M
,,,,surah ahkaf,10K – 100K
,,,,surah al ahkaf,1K – 10K
,,,,surah ahqaf,10K – 100K
,,,,surah ahqaf ayat 15,1K – 10K
47,Muhammad,surah muhammad,100K – 1M,sura muhammod,100K – 1M
,,,,muhammad surah,100K – 1M
,,,,surah muhammd,100K – 1M
,,,,surath muhammed,100K – 1M
,,,,sorat muhammad,100K – 1M
,,,,sura muhammad,100K – 1M
,,,,surah al muhammad,100K – 1M
,,,,surah e muhammad,100K – 1M
,,,,surah muhamad,100K – 1M
,,,,surah muhammad,100K – 1M
,,,,surat muhamad,100K – 1M
,,,,surat muhammad,100K – 1M
,,,,suratul muhammad,100K – 1M
,,,,sure muhammad,100K – 1M
,,,,sureh muhammad,100K – 1M
,,,,surha muhammad,100K – 1M
,,,,surah muhammad with urdu translation,1K – 10K
,,,,surah e muhammad with urdu translation,1K – 10K
,,,,surah muhammad translation in urdu,1K – 10K
,,,,qs muhammad,1K – 10K
48,Al Fath,surah fath,100K – 1M,soora fathah,100K – 1M
,,,,soorah fatah,100K – 1M
,,,,surah alfath,100K – 1M
,,,,surah alfatha,100K – 1M
,,,,soorah fateh,100K – 1M
,,,,soorah fathah,100K – 1M
,,,,soorat fatah,100K – 1M
,,,,soorathul fatah,100K – 1M
,,,,soorathul fateh,100K – 1M
,,,,surah fatah,100K – 1M
,,,,surat al fath,100K – 1M
,,,,surat alfath,10K – 100K
,,,,surat fath,100K – 1M
,,,,surat ul fatah,10K – 100K
,,,,surat ul fath,10K – 100K
,,,,surath fath,100K – 1M
,,,,surath fathah,100K – 1M
,,,,surah al fath in english,1K – 10K
,,,,surah fatah in english,1K – 10K
,,,,surah fath in english,1K – 10K
,,,,surah fath translation,1K – 10K
,,,,al fattah surah,100K – 1M
,,,,surah al fatah,100K – 1M
,,,,surah al fath translation,1K – 10K
,,,,surah al fath transliteration,1K – 10K
,,,,surah e fatah,1K – 10K
49,Al Hujurat,surah al hujurat,10K – 100K,sura hujrat,10K – 100K
,,,,surah al hujurat,10K – 100K
,,,,surah hujuraat,10K – 100K
,,,,surah hujurat,10K – 100K
,,,,surat al hujuraat,10K – 100K
,,,,surat al hujurat,10K – 100K
,,,,surat alhujurat,10K – 100K
,,,,surat hujrat,10K – 100K
,,,,surat ul hujrat,10K – 100K
,,,,surah al hujurat with urdu translation,1K – 10K
,,,,surah al hujurat,10K – 100K
,,,,surah hujurat,10K – 100K
,,,,surat alhujurat,10K – 100K
,,,,surah hujurat with urdu translation,1K – 10K
,,,,hujurat surah,1K – 10K
,,,,surah al hujurat urdu translation,1K – 10K
,,,,surah hujurat ayat 11,1K – 10K
50,Qaf,Surah Qaf,10K – 100K,surah qaff,1M – 10M
,,,,qaf surah,10K – 100K
,,,,sorah qaf,10K – 100K
,,,,sura qaf,10K – 100K
,,,,surah al qaf,10K – 100K
,,,,surah e qaf,10K – 100K
,,,,surah qaf,10K – 100K
,,,,surat qaf,10K – 100K
,,,,surathul qaf,10K – 100K
,,,,suratul qaf,10K – 100K
,,,,surha qaf,10K – 100K
,,,,surt qaf,10K – 100K
,,,,al kaf,100K – 1M
,,,,sura al kaf,100K – 1M
,,,,surah al kaf,100K – 1M
,,,,surah al kaff,100K – 1M
,,,,surat al kaf,100K – 1M
,,,,suratul kaf,100K – 1M
,,,,al qaf,1K – 10K
,,,,surah qaaf with urdu translation,1K – 10K
,,,,surah qaf urdu translation,1K – 10K
,,,,surah qaf with urdu translation,1K – 10K
51,Adh Dhariyat,surah adh dhariyat,1K – 10K,surah az zariyat,1K – 10K
,,,,surah dhariyat,1K – 10K
,,,,surah zariyat,1K – 10K
,,,,surah 51,1K – 10K
,,,,surah az zariyat,1K – 10K
52,At Tur,Surah At-Tur,10K – 100K,surah al tur,10K – 100K
,,,,surah tur,10K – 100K
,,,,surah at toor,10K – 100K
53,An Najm, Surah An-Najm ,10K – 100K,najm surah,10K – 100K
,,,,sorat najm,10K – 100K
,,,,sura najm,10K – 100K
,,,,surah al najam,10K – 100K
,,,,surah al najm,10K – 100K
,,,,surah an najmi,10K – 100K
,,,,surah najam,10K – 100K
,,,,surah najm,10K – 100K
,,,,surat al najm,10K – 100K
,,,,surat an najm,10K – 100K
,,,,surat annajm,10K – 100K
,,,,surat najm,10K – 100K
,,,,suratul najm,10K – 100K
,,,,sure najam,10K – 100K
,,,,surah al najm with urdu translation,1K – 10K
,,,,surah najam with urdu translation,1K – 10K
,,,,surah al najm,10K – 100K
,,,,surah an najm,10K – 100K
,,,,surah najm ayat 58,1K – 10K
,,,,surah najm urdu translation,1K – 10K
54,Al Qamar,surah al qamar,10K – 100K,sura al qamar,10K – 100K
,,,,sura qamar,10K – 100K
,,,,surah alqamar,10K – 100K
,,,,surah qamar,10K – 100K
,,,,surat al qamar,10K – 100K
,,,,surat qamar,10K – 100K
,,,,sureh qamar,10K – 100K
,,,,surah qamr,10K – 100K
,,,,soorathul kamar,10K – 100K
,,,,sura al kamar,10K – 100K
,,,,surah kamar,10K – 100K
,,,,surat al kamar,10K – 100K
,,,,suratul kamar,10K – 100K
,,,,surah al qamar with urdu translation,1K – 10K
,,,,surah qamar urdu translation,1K – 10K
,,,,surah alqamar,1K – 10K
,,,,surah qamar ayat 10,1K – 10K
,,,,surat al qamar,1K – 10K
55,Ar Rahman,surah rahman,1M – 10M,sora e rahman,1M – 10M
,,,,sora rahman,1M – 10M
,,,,sorah rahmaan,1M – 10M
,,,,sorah rahman,1M – 10M
,,,,sorahrahman,1M – 10M
,,,,sorat rahman,1M – 10M
,,,,sort rahman,1M – 10M
,,,,soura rahman,1M – 10M
,,,,suarh rahman,1M – 10M
,,,,sueah rahman,1M – 10M
,,,,sura a rahman,1M – 10M
,,,,sura ar rahman,1M – 10M
,,,,sura arahman,1M – 10M
,,,,sura arrahman,1M – 10M
,,,,sura rahman,1M – 10M
,,,,surah rehman with urdu translation,100K – 1M
,,,,surah al rahman urdu translation,100K – 1M
,,,,surah al rehman with urdu translation,100K – 1M
,,,,surah rahman in urdu translation,100K – 1M
,,,,surah rahman tarjuma in urdu,100K – 1M
,,,,surah rahman tarjuma urdu,100K – 1M
,,,,surah rahman with translation in urdu,100K – 1M
,,,,surah rehman urdu translation,100K – 1M
,,,,surah ar,1M – 10M
,,,,surah rahman with urdu translation,100K – 1M
,,,,surah rahman in english,10K – 100K
56,Al Waqiah,surah waqiah,1M – 10M,waqiah surah,100K – 1M
,,,,soora waqia,1M – 10M
,,,,soorah waqia,1M – 10M
,,,,soorah waqiah,1M – 10M
,,,,soorat waqia,1M – 10M
,,,,soorathul waqiah,1M – 10M
,,,,sora waqia,1M – 10M
,,,,sora waqiya,1M – 10M
,,,,sorah e waqia,1M – 10M
,,,,sorah waqea,1M – 10M
,,,,sorah waqia,1M – 10M
,,,,sorah waqiah,1M – 10M
,,,,sorah waqiya,1M – 10M
,,,,sorat alwaqia,1M – 10M
,,,,sorat waqia,1M – 10M
,,,,surah waqiah with urdu translation,10K – 100K
,,,,surat al waqiah arab,10K – 100K
,,,,al waqiah english,10K – 100K
,,,,surah al waqiah in english,10K – 100K
,,,,surah al waqiah in roman english,10K – 100K
,,,,surah al waqiah translation in urdu,10K – 100K
,,,,surah waqiah in roman english,10K – 100K
,,,,surah sl waqiah,1M – 10M
,,,,surah wa qiah,1M – 10M
,,,,surah al waqiah full,10K – 100K
,,,,al waqiah in english,10K – 100K
,,,,al waqiah surah,10K – 100K
,,,,al waqiah translation,10K – 100K
57,Al Hadid,Surah Al-Hadid ,10K – 100K,al hadid surah,10K – 100K
,,,,hadid surah,10K – 100K
,,,,sorat al hadid,10K – 100K
,,,,souk el had,10K – 100K
,,,,sura al hadid,10K – 100K
,,,,sura hadid,10K – 100K
,,,,surah al hadid,10K – 100K
,,,,surah hadid,10K – 100K
,,,,surat al hadid,10K – 100K
,,,,surat alhadid,10K – 100K
,,,,surat hadid,10K – 100K
,,,,sure al hadid,10K – 100K
,,,,surah al hadeed with urdu translation,1K – 10K
,,,,surah al hadid urdu translation,1K – 10K
,,,,surah al hadid with urdu translation,1K – 10K
,,,,surah hadeed urdu translation,1K – 10K
,,,,surah hadeed with urdu translation,1K – 10K
,,,,surah hadid urdu translation,1K – 10K
,,,,surah hadid with urdu translation,1K – 10K
,,,,surah al had,10K – 100K
,,,,surah al hadid ayat 20,1K – 10K
,,,,surat al hadid ayat 20,1K – 10K
,,,,surat al hadid ayat 22,1K – 10K
58,Al Mujadila,Surah Mujadila,10K – 100K,sura al mujadila,10K – 100K
,,,,sura mujadila,10K – 100K
,,,,surah al mujadila,10K – 100K
,,,,surath mujadila,10K – 100K
,,,,suratul mujadila,10K – 100K
,,,,al mujadila,10K – 100K
,,,,surat al mujadilah,10K – 100K
,,,,surah mujadila with urdu translation,1K – 10K
,,,,surah mujadila pdf,1K – 10K
,,,,al qur an surat al mujadalah ayat 11,100 – 1K
,,,,,
,,,,,
59,Al Hashr,surah al hashr,10K – 100K,hashr surah,10K – 100K
,,,,surah al hashr,10K – 100K
,,,,al hashr surah,10K – 100K
,,,,sura hashr,10K – 100K
,,,,surat ul hashr,10K – 100K
,,,,sura al hashr,10K – 100K
,,,,surah hashor,10K – 100K
,,,,surah hasor,10K – 100K
,,,,suratul hasor,10K – 100K
,,,,suratul hasr,10K – 100K
,,,,sura hasr,10K – 100K
,,,,surah hasr,10K – 100K
,,,,surah al hasr,10K – 100K
,,,,surahasr,100K – 1M
,,,,sura al hasr,10K – 100K
,,,,surah al hashr translation in urdu,1K – 10K
,,,,surah hashr last 3 ayat with urdu translation,1K – 10K
,,,,surah hashr urdu translation,1K – 10K
,,,,surah hashr with urdu translation,1K – 10K
,,,,al hashr,1K – 10K
,,,,surah hashr translation,1K – 10K
60,Al Mumtahanah,surah al mumtahanah,10K – 100K,mumtahina surah,10K – 100K
,,,,sura al mumtahina,10K – 100K
,,,,sura mumtahina,10K – 100K
,,,,surah mumtahina,10K – 100K
,,,,surat al mumtahina,10K – 100K
,,,,Surah al Mumtahina,10K – 100K
,,,,surah al mumtahanah,1K – 10K
,,,,surah mumtahanah,1K – 10K
61,As Saf,Surah Saff,10K – 100K,sura saf,10K – 100K
,,,,sura saff,10K – 100K
,,,,surah al saff,10K – 100K
,,,,surah as saf,10K – 100K
,,,,surah as saff,10K – 100K
,,,,surat al saf,10K – 100K
,,,,surat al saff,10K – 100K
,,,,surat as saff,1K – 10K
,,,,surat as shaff,1K – 10K
62,Al Jumu'ah,Surah Jumu'ah,100K – 1M,sorah jumma,100K – 1M
,,,,sorat jumma,100K – 1M
,,,,sura al juma,100K – 1M
,,,,sura juma,100K – 1M
,,,,sura jumma,100K – 1M
,,,,sura jummah,100K – 1M
,,,,surah al juma,100K – 1M
,,,,surah jumma,100K – 1M
,,,,surah jummah,100K – 1M
,,,,surat juma,100K – 1M
,,,,surat jumma,100K – 1M
,,,,surat jummah,100K – 1M
,,,,sure jumma,100K – 1M
,,,,sureh juma,100K – 1M
,,,,sureh jumah,100K – 1M
,,,,sureh jumma,100K – 1M
,,,,sureh jummah,100K – 1M
,,,,surha juma,100K – 1M
,,,,surah jumuah in roman english,1K – 10K
,,,,surah al jumu ah,10K – 100K
63,Al Munafiqun,surah al munafiqun,10K – 100K,sura al munafiqun,10K – 100K
,,,,sura munafikun,10K – 100K
,,,,surah al munafikun,10K – 100K
,,,,surah al munafiqun,10K – 100K
,,,,surah almunafiqun,10K – 100K
,,,,surah munafikun,10K – 100K
,,,,surah munafiqon,10K – 100K
,,,,surah munafiqun,10K – 100K
,,,,surat almunafiqun,10K – 100K
,,,,surat munafiqun,10K – 100K
,,,,suratul munafikun,10K – 100K
,,,,surah al munafiqun with urdu translation,1K – 10K
,,,,surah munafiqun with urdu translation,1K – 10K
,,,,al munafiqun,10K – 100K
,,,,surah almunafiqun,10K – 100K
64,Taghabun,surah taghabun,100K – 1M,soorah taghabun,100K – 1M
,,,,sura tagabun,100K – 1M
,,,,surat taghabun,100K – 1M
,,,,sureh tagabun,100K – 1M
,,,,sureh taghabun,100K – 1M
,,,,surah al taghabun with urdu translation,1K – 10K
,,,,surah taghabun translation in urdu,1K – 10K
,,,,surah taghabun urdu translation,1K – 10K
,,,,surat taghabun,100K – 1M
,,,,surah attaghabun,1K – 10K
,,,,surat at taghabun,1K – 10K
65,At Talaq,Surah At Talaq,10K – 100K,surah al talaq,10K – 100K
,,,,surah talak,10K – 100K
,,,,surah talaq,10K – 100K
,,,,surat at talaq,10K – 100K
,,,,surat talaq,10K – 100K
,,,,suratul talaq,10K – 100K
,,,,sureh talaq,10K – 100K
,,,,talaq surah,10K – 100K
,,,,surah talaq with urdu translation,1K – 10K
,,,,qs at talaq 2 3,1K – 10K
,,,,surah al talaq with urdu translation,1K – 10K
,,,,surah at talaq with urdu translation,1K – 10K
,,,,surah talaq urdu translation,1K – 10K
,,,,translation of surah talaq in urdu,1K – 10K
66,At Tahrim,surah at tahrim,10K – 100K,surah tahrim,10K – 100K
,,,,al tahrim,10K – 100K
,,,,surah 66,1K – 10K
,,,,surah al tahrim,1K – 10K
,,,,surat at tahrim,1K – 10K
,,,,surat attahrim,1K – 10K
,,,,al tahrim,10K – 100K
,,,,surah at tahrim,10K – 100K
,,,,surah tahrim,10K – 100K
,,,,surah al tahrim,1K – 10K
,,,,surat at tahrim,1K – 10K
,,,,surat attahrim,1K – 10K
67,Al Mulk,surah mulk,1M – 10M,sarah al mulk,1M – 10M
,,,,sarah almulk,1M – 10M
,,,,sarah mulk,1M – 10M
,,,,shura mulk,1M – 10M
,,,,sira mulk,1M – 10M
,,,,sirah al mulk,1M – 10M
,,,,soora mulk,1M – 10M
,,,,soorah al mulk,1M – 10M
,,,,soorah mulk,1M – 10M
,,,,soorat mulk,1M – 10M
,,,,soorathul mulk,1M – 10M
,,,,sora almulk,1M – 10M
,,,,sora e mulk,1M – 10M
,,,,sora mulak,1M – 10M
,,,,sora mulk,1M – 10M
,,,,al mulk english,10K – 100K
,,,,al mulk surah in english,10K – 100K
,,,,mulk in english,10K – 100K
,,,,mulk transliteration,10K – 100K
,,,,surah al mulk bangla translation,10K – 100K
,,,,surah al mulk in roman english,10K – 100K
,,,,surah al mulk translation in urdu,10K – 100K
,,,,almulk surah,1M – 10M
,,,,al mulk in english,10K – 100K
,,,,surah al mulk english,10K – 100K
,,,,surah al mulk with bangla translation,10K – 100K
,,,,surah e mulk with urdu translation,10K – 100K
,,,,surah al mulk,1M – 10M
68,Al Qalam,Surah Al-Qalam,10K – 100K,al qalam,10K – 100K
,,,,al qalam surah,10K – 100K
,,,,qalam,10K – 100K
,,,,sura qalm,10K – 100K
,,,,surah al qalm,10K – 100K
,,,,surah qalm,10K – 100K
,,,,surat al qalm,10K – 100K
,,,,soorathul qalam,10K – 100K
,,,,sorah qalam,10K – 100K
,,,,sorat qalam,10K – 100K
,,,,surat qalm,10K – 100K
,,,,sura al qalam,10K – 100K
,,,,sura alqalam,10K – 100K
,,,,sura qalam,10K – 100K
,,,,surae qalam,10K – 100K
,,,,surah al qalam,10K – 100K
,,,,surah alqalam,10K – 100K
,,,,surah qalak,10K – 100K
,,,,surah qalam,10K – 100K
,,,,surah qalam last 2 ayat,10K – 100K
,,,,surah al qalam urdu translation,1K – 10K
,,,,surah al qalam with urdu translation,1K – 10K
,,,,surah qalam with urdu translation,1K – 10K
,,,,surah qalam,10K – 100K
,,,,surah alqalam,10K – 100K
,,,,surah kalem,10K – 100K
,,,,surah qalam last 2 ayat,10K – 100K
,,,,last ayat of surah qalam,1K – 10K
,,,,last two ayat of surah qalam,1K – 10K
,,,,qalam surah,1K – 10K
69,Al Haqqah,surah al haqqah,10K – 100K,surah al hakkah,1M – 10M
,,,,surah hakkah,1M – 10M
,,,,surah al haqa,10K – 100K
,,,,surah al haqah,10K – 100K
,,,,surah al haqq,10K – 100K
,,,,surah al haqqah,10K – 100K
,,,,surah alhaqqa,1M – 10M
,,,,surah alhaqqah,10K – 100K
,,,,surah haqah,10K – 100K
,,,,surah haqqa,10K – 100K
,,,,surah haqqah,10K – 100K
,,,,surat al haqah,10K – 100K
,,,,surat al haqqah,10K – 100K
,,,,suratul al haqqah,10K – 100K
,,,,suratul haqqah,10K – 100K
,,,,al haqqah surah,1K – 10K
70,Al Ma'arij,surah al ma arij,10K – 100K,surah al maarij,10K – 100K
,,,,surah almaarij,10K – 100K
,,,,surah maarij,10K – 100K
,,,,suratul ma arij,10K – 100K
,,,,surah 70,1K – 10K
,,,,day of judgement,100K – 1M
,,,,signs of qiyamah,1K – 10K
,,,,day of judgement in islam,10K – 100K
,,,,jannah and jahannam,1K – 10K
,,,,yawm al qiyamah,1K – 10K
71,Nuh,surah nuh,10K – 100K,sura nuh,10K – 100K
,,,,surah an nuh,10K – 100K
,,,,surat nuh,10K – 100K
,,,,suratul nuh,10K – 100K
,,,,sure nuh,10K – 100K
,,,,sureh nuh,10K – 100K
,,,,surh nuh,10K – 100K
,,,,nooh surah,10K – 100K
,,,,soora nooh,10K – 100K
,,,,soorah nooh,10K – 100K
,,,,sorah nooh,10K – 100K
,,,,sura nooh,10K – 100K
,,,,surah nooh,10K – 100K
,,,,surat nooh,10K – 100K
,,,,surath nooh,10K – 100K
,,,,surathul nooh,10K – 100K
,,,,sureh nooh,10K – 100K
,,,,surh nooh,10K – 100K
,,,,surah nuh translation in urdu,1K – 10K
,,,,surah nuh urdu translation,1K – 10K
,,,,surah nuh with urdu translation,1K – 10K
,,,,surah nuh,10K – 100K
,,,,surah an nuh,10K – 100K
,,,,nuh surah,1K – 10K
,,,,surah nooh ayat 10 11 12,1K – 10K
,,,,surah nooh ayat 10 12,1K – 10K
,,,,surah nuh ayat 10 11 12,1K – 10K
72,Al Jinn,Surah Al-Jinn,100K – 1M,jinn surah quran,100K – 1M
,,,,al jinn surah,100K – 1M
,,,,jinn surah,100K – 1M
,,,,soorah jinn,100K – 1M
,,,,sorah jin,100K – 1M
,,,,sur e jin,100K – 1M
,,,,sur e jinn,100K – 1M
,,,,sura al jin,100K – 1M
,,,,sura al jinn,100K – 1M
,,,,sura e jin,100K – 1M
,,,,sura jin,100K – 1M
,,,,sura jinn,100K – 1M
,,,,surah al jin,100K – 1M
,,,,surah al jinn,100K – 1M
,,,,surah aljinn,100K – 1M
,,,,al jinn surah,100K – 1M
,,,,jinn surah,100K – 1M
,,,,soorah jinn,100K – 1M
,,,,sorah jin,100K – 1M
,,,,sur e jin,100K – 1M
,,,,sur e jinn,100K – 1M
,,,,sura al jin,100K – 1M
,,,,sura al jinn,100K – 1M
,,,,sura e jin,100K – 1M
,,,,sura jin,100K – 1M
,,,,sura jinn,100K – 1M
,,,,surah al jin,100K – 1M
,,,,surah al jinn,100K – 1M
,,,,surah aljinn,100K – 1M
,,,,Surah Jinn,100K – 1M
,,,,surah al jinn translation in urdu,1K – 10K
,,,,surah jinn english,1K – 10K
,,,,surah jinn tarjuma ke sath,1K – 10K
,,,,surah jinn transliteration,1K – 10K
,,,,surah jinn urdu translation,1K – 10K
,,,,urdu translation of surah jinn,1K – 10K
,,,,surah jinn translation,1K – 10K
73,Al Muzzammil,surah muzammil,100K – 1M,muzamil surah,100K – 1M
,,,,muzammil surah,100K – 1M
,,,,soorah muzamil,100K – 1M
,,,,soorat muzamil,100K – 1M
,,,,soorathul muzammil,100K – 1M
,,,,sura e muzammil,100K – 1M
,,,,sura muzaml,100K – 1M
